date,store_id,product_id,sales,promotion
2024-03-16,2,102,63,0
2024-03-17,1,100,236,0
2024-03-18,4,100,361,0
2024-03-19,4,102,420,1
2024-03-20,4,104,56,0
2024-03-21,5,102,52,0
2024-03-22,1,100,160,0
2024-03-23,5,100,456,1
2024-03-24,5,107,287,0
2024-03-25,1,109,412,1
2024-03-26,1,101,288,0
2024-03-27,1,102,323,1
2024-03-28,1,101,343,1
2024-03-29,4,102,276,1
2024-03-30,3,106,420,1
2024-03-31,3,100,64,0
2024-04-01,1,109,241,0
2024-04-02,3,107,168,0
2024-04-03,3,109,77,0
2024-04-04,1,109,251,0
2024-04-05,3,109,88,0
2024-04-06,5,101,490,0
2024-04-07,2,102,322,0
2024-04-08,2,108,280,1
2024-04-09,1,106,135,0
2024-04-10,4,103,175,1
2024-04-11,1,109,349,1
2024-04-12,4,104,74,1
2024-04-13,2,101,194,0
2024-04-14,1,107,62,1
2024-04-15,5,103,261,1
2024-04-16,3,108,74,1
2024-04-17,4,104,117,0
2024-04-18,3,108,443,0
2024-04-19,3,103,116,0
2024-04-20,1,109,282,0
2024-04-21,3,104,158,0
2024-04-22,5,108,195,1
2024-04-23,3,107,160,1
2024-04-24,1,102,277,0
2024-04-25,5,100,160,1
2024-04-26,2,102,83,0
2024-04-27,3,103,160,1
2024-04-28,1,101,313,1
2024-04-29,2,100,473,0
2024-04-30,2,106,418,0
2024-05-01,4,107,285,1
2024-05-02,5,106,132,0
2024-05-03,3,104,91,0
2024-05-04,1,100,474,1
2024-05-05,4,106,150,0
2024-05-06,5,106,55,1
2024-05-07,4,108,229,0
2024-05-08,5,102,331,1
2024-05-09,5,108,369,0
2024-05-10,3,100,275,1
2024-05-11,5,100,492,1
2024-05-12,4,103,489,0
2024-05-13,5,108,364,0
2024-05-14,3,105,414,1
2024-05-15,3,102,278,0
2024-05-16,4,100,426,0
2024-05-17,2,103,338,0
2024-05-18,2,108,486,0
2024-05-19,5,102,199,1
2024-05-20,1,108,326,0
2024-05-21,5,106,247,0
2024-05-22,4,103,119,0
2024-05-23,4,102,161,0
2024-05-24,4,109,53,0
2024-05-25,4,104,399,0
2024-05-26,4,104,380,1
2024-05-27,3,102,495,0
2024-05-28,2,108,367,0
2024-05-29,4,103,399,1
2024-05-30,1,104,144,0
2024-05-31,1,103,201,1
2024-06-01,1,104,360,0
2024-06-02,1,106,186,0
2024-06-03,3,108,296,0
2024-06-04,1,106,436,0
2024-06-05,4,104,292,1
2024-06-06,5,109,80,0
2024-06-07,1,109,89,0
2024-06-08,3,106,278,0
2024-06-09,3,109,85,0
2024-06-10,1,104,457,1
2024-06-11,5,102,272,0
2024-06-12,1,106,55,0
2024-06-13,3,101,371,0
2024-06-14,2,108,269,0
2024-06-15,4,109,124,1
2024-06-16,3,109,53,0
2024-06-17,1,100,384,1
2024-06-18,4,105,183,0
2024-06-19,1,106,167,0
2024-06-20,1,107,418,1
2024-06-21,2,109,143,0
2024-06-22,4,108,484,0
2024-06-23,4,101,111,1
2024-06-24,2,109,490,0
2024-06-25,3,101,243,1
2024-06-26,1,104,384,0
2024-06-27,5,104,252,1
2024-06-28,1,105,441,1
2024-06-29,1,102,75,0
2024-06-30,3,107,484,1
2024-07-01,1,100,222,0
2024-07-02,2,105,349,1
2024-07-03,2,103,182,0
2024-07-04,4,100,375,0
2024-07-05,5,106,459,0
2024-07-06,1,108,167,0
2024-07-07,1,103,373,0
2024-07-08,3,103,324,1
2024-07-09,2,105,261,1
2024-07-10,5,102,274,1
2024-07-11,4,105,69,0
2024-07-12,2,106,162,0
2024-07-13,4,109,189,0
2024-07-14,3,109,96,0
2024-07-15,3,102,50,0
2024-07-16,1,106,139,0
2024-07-17,5,102,191,1
2024-07-18,4,101,369,0
2024-07-19,2,109,87,0
2024-07-20,3,103,342,0
2024-07-21,1,107,431,0
2024-07-22,1,108,188,0
2024-07-23,4,106,405,1
2024-07-24,3,100,382,0
2024-07-25,5,102,308,0
2024-07-26,3,108,210,0
2024-07-27,4,100,439,1
2024-07-28,4,108,227,1
2024-07-29,3,107,59,1
2024-07-30,4,100,310,0
2024-07-31,3,105,456,0
2024-08-01,2,104,187,0
2024-08-02,3,105,221,1
2024-08-03,3,109,435,1
2024-08-04,4,104,62,0
2024-08-05,4,105,217,1
2024-08-06,1,104,179,1
2024-08-07,1,104,133,0
2024-08-08,2,103,370,1
2024-08-09,1,102,368,1
2024-08-10,3,102,150,0
2024-08-11,4,103,378,0
2024-08-12,1,108,322,0
2024-08-13,1,101,314,0
2024-08-14,2,108,448,0
2024-08-15,2,100,457,0
2024-08-16,3,100,87,1
2024-08-17,4,104,468,0
2024-08-18,2,105,143,0
2024-08-19,1,105,144,0
2024-08-20,4,102,354,0
2024-08-21,4,106,118,1
2024-08-22,1,108,367,0
2024-08-23,2,109,493,0
2024-08-24,1,107,285,0
2024-08-25,4,105,483,1
2024-08-26,5,107,383,1
2024-08-27,5,104,422,0
2024-08-28,3,107,425,0
2024-08-29,1,109,186,0
2024-08-30,1,103,467,0
2024-08-31,3,109,125,0
2024-09-01,3,107,84,0
2024-09-02,3,109,50,0
2024-09-03,4,101,345,0
2024-09-04,1,104,369,1
2024-09-05,4,108,455,0
2024-09-06,3,103,109,0
2024-09-07,1,105,369,0
2024-09-08,4,100,398,0
2024-09-09,4,108,377,1
2024-09-10,3,100,316,0
2024-09-11,1,104,410,0
2024-09-12,3,103,278,1
2024-09-13,1,102,319,0
2024-09-14,5,105,365,0
2024-09-15,2,101,335,1
2024-09-16,2,102,340,0
2024-09-17,2,104,262,0
2024-09-18,3,108,214,1
2024-09-19,5,101,54,0
2024-09-20,1,109,388,0
2024-09-21,4,107,428,0
2024-09-22,1,101,127,1
2024-09-23,4,104,459,0
2024-09-24,1,106,111,0
2024-09-25,5,107,181,0
2024-09-26,4,100,138,0
2024-09-27,3,105,286,0
2024-09-28,1,100,91,0
2024-09-29,1,101,138,0
2024-09-30,4,100,451,0
2024-10-01,3,104,345,0
2024-10-02,3,109,377,0
2024-10-03,5,108,344,0
2024-10-04,3,105,153,0
2024-10-05,3,100,63,1
2024-10-06,3,100,337,0
2024-10-07,2,101,228,0
2024-10-08,5,108,174,0
2024-10-09,1,102,471,1
2024-10-10,4,100,402,1
2024-10-11,1,104,72,0
2024-10-12,5,106,112,0
2024-10-13,4,105,192,1
2024-10-14,5,100,202,0
2024-10-15,3,104,194,0
2024-10-16,4,104,274,0
2024-10-17,3,105,499,0
2024-10-18,1,102,358,1
2024-10-19,1,104,153,1
2024-10-20,4,106,153,0
2024-10-21,4,104,484,0
2024-10-22,5,104,88,1
2024-10-23,5,104,484,1
2024-10-24,3,109,247,0
2024-10-25,4,109,183,1
2024-10-26,1,102,116,1
2024-10-27,5,100,440,1
2024-10-28,5,104,228,0
2024-10-29,1,108,91,0
2024-10-30,5,100,497,1
2024-10-31,3,102,64,0
2024-11-01,4,103,160,1
2024-11-02,1,100,206,0
2024-11-03,4,100,338,0
2024-11-04,5,107,280,0
2024-11-05,5,101,460,0
2024-11-06,1,107,469,1
2024-11-07,3,106,206,1
2024-11-08,2,109,87,1
2024-11-09,1,109,490,0
2024-11-10,2,101,146,0
2024-11-11,2,105,460,0
2024-11-12,3,105,488,0
2024-11-13,2,102,338,0
2024-11-14,2,101,303,0
2024-11-15,3,100,245,0
2024-11-16,2,105,135,0
2024-11-17,2,104,371,1
2024-11-18,2,108,59,1
2024-11-19,1,100,54,0
2024-11-20,1,106,172,0
2024-11-21,1,104,379,1
2024-11-22,3,104,402,0
2024-11-23,5,101,167,1
2024-11-24,2,102,343,1
2024-11-25,2,106,446,0
2024-11-26,3,105,208,0
2024-11-27,2,101,352,0
2024-11-28,1,105,277,0
2024-11-29,5,101,414,0
2024-11-30,4,101,265,1
2024-12-01,2,101,485,0
2024-12-02,1,102,233,0
2024-12-03,4,101,64,1
2024-12-04,5,103,206,1
2024-12-05,4,108,185,0
2024-12-06,1,105,310,0
2024-12-07,4,100,206,0
2024-12-08,3,107,96,0
2024-12-09,4,106,373,0
2024-12-10,2,109,381,0
2024-12-11,2,102,222,1
2024-12-12,3,100,179,0
2024-12-13,1,104,460,1
2024-12-14,2,103,144,1
2024-12-15,5,109,164,0
2024-12-16,2,107,292,1
2024-12-17,2,100,469,0
2024-12-18,1,109,341,1
2024-12-19,4,100,331,0
2024-12-20,2,103,348,0
2024-12-21,3,107,332,0
2024-12-22,4,104,118,1
2024-12-23,5,101,197,1
2024-12-24,1,105,60,0
2024-12-25,5,104,303,1
2024-12-26,4,101,379,0
2024-12-27,4,102,409,0
2024-12-28,4,108,87,0
2024-12-29,5,106,183,0
2024-12-30,4,106,249,0
